"Looking_pat";"Vocalizing_pat";"Looking_ther";"Vocalizing_ther"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_no";"Voc_speak"
"Look_look";"Voc_speak";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_no"
"Look_no";"Voc_bch";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_no";"Voc_no"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_bch"
"Look_no";"Voc_speak";"Look_look";"Voc_bch"
"Look_no";"Voc_speak";"Look_look";"Voc_bch"
"Look_no";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_no";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_no";"Voc_speak"
"Look_no";"Voc_no";"Look_no";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_no";"Voc_no"
"Look_look";"Voc_speak";"Look_no";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_no";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_no";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_no";"Look_look";"Voc_bch"
"Look_no";"Voc_no";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_bch"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_bch";"Look_look";"Voc_no"
"Look_look";"Voc_bch";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_bch";"Look_look";"Voc_speak"
"Look_no";"Voc_no";"Look_look";"Voc_no"
"Look_no";"Voc_no";"Look_look";"Voc_no"
"Look_no";"Voc_no";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_no";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_no"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_no";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_look";"Voc_speak"
"Look_look";"Voc_speak";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_look";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
"Look_look";"Voc_no";"Look_no";"Voc_speak"
